Id,Name,Position,Team,Salary,Projected,Scored,Override
119360,DeMarcus Cousins,PF/C,SAC,10300,42.26,63.5,0
119361,LaMarcus Aldridge,PF/C,SA,7300,41.54,23.25,0
119362,Al Horford,PF/C,BOS,7000,37.28,28.75,0
119363,Taj Gibson,PF/C,CHI,4100,25.16,32.5,0
119364,Ed Davis,PF/C,POR,3800,20.11,5.75,0
119365,Jason Smith,PF/C,WAS,3200,8.74,9.25,0
119366,Marreese Speights,PF/C,LAC,3200,8.32,18.5,0
119367,Brandon Bass,PF/C,LAC,3000,11.26,0,0
119368,Damian Lillard,PG,POR,9200,45.49,46.5,0
119369,Chris Paul,PG,LAC,8800,47.45,43.75,0
119370,John Wall,PG,WAS,8200,43.48,39.75,0
119371,Isaiah Thomas,PG,BOS,7200,43.44,37.75,0
119372,Dennis Schroder,PG,ATL,6500,29.15,20.5,0
119373,Rajon Rondo,PG,CHI,6200,42.52,28.5,0
119374,Ty Lawson,PG,SAC,5600,29.74,27,0
119375,Darren Collison,PG,SAC,5500,0,0,0
119376,Tony Parker,PG,SA,4400,22.6,9,0
119377,Patty Mills,PG,SA,3900,19.11,9.75,0
119378,Michael Carter-Williams,PG,CHI,3600,14.12,17.5,0
119379,Terry Rozier,PG,BOS,3300,8.1,24,0
119380,Austin Rivers,PG,LAC,3300,12.17,16.5,0
119381,Malcolm Delaney,PG,ATL,3000,0,13.25,0
119382,Trey Burke,PG,WAS,3000,8.21,12,0
119383,Tomas Satoransky,PG,WAS,3000,0,4.75,0
119384,Isaiah Canaan,PG,CHI,3000,0,6,0
119385,Jerian Grant,PG,CHI,3000,0,0,0
119386,Demetrius Jackson,PG,BOS,3000,0,0,0
119387,Nicolas Laprovittola,PG,SA,3000,2.27,0,0
119388,Bryn Forbes,PG,SA,3000,0,0,0
119389,Dejounte Murray,PG,SA,3000,0,0,0
119390,Shabazz Napier,PG,POR,3000,0,0,0
119391,Tim Quarterman,PG,POR,3000,0,0,0
119392,Blake Griffin,PF,LAC,8600,36.73,55.75,0
119393,Paul Millsap,PF,ATL,7900,40.09,48.25,0
119394,Nikola Mirotic,PF,CHI,4800,19.82,26.75,0
119395,Al-Farouq Aminu,PF,POR,4500,22.35,15,0
119396,Bobby Portis,PF,CHI,3700,15.54,0,0
119397,Kelly Olynyk,PF,BOS,3300,0,0,0
119398,Meyers Leonard,PF,POR,3200,9.06,0,0
119399,David Lee,PF,SA,3100,5.48,27.25,0
119400,Kris Humphries,PF,ATL,3000,6.82,3.25,0
119401,Mike Scott,PF,ATL,3000,0,0,0
119402,Andrew Nicholson,PF,WAS,3000,9.07,21.75,0
119403,Jonas Jerebko,PF,BOS,3000,14.05,5.75,0
119404,Jordan Mickey,PF,BOS,3000,0,0,0
119405,Anthony Tolliver,PF,SAC,3000,11.18,1,0
119406,Skal Labissiere,PF,SAC,3000,0,0,0
119407,Brice Johnson,PF,LAC,3000,0,0,0
119408,Jake Layman,PF,POR,3000,0,0,0
119409,Noah Vonleh,PF,POR,3000,9.02,5.5,0
119410,Kawhi Leonard,SF/PF,SA,8400,47.34,51.25,0
119411,Markieff Morris,SF/PF,WAS,5400,28.12,37,0
119412,Omri Casspi,SF/PF,SAC,3500,7.28,0,0
119413,DeAndre Jordan,C,LAC,7700,43.06,22.5,0
119414,Dwight Howard,C,ATL,7500,31.47,45.75,0
119415,Pau Gasol,C,SA,6600,28.61,19,0
119416,Marcin Gortat,C,WAS,5300,31.06,21.75,0
119417,Robin Lopez,C,CHI,5000,25.32,19,0
119418,Mason Plumlee,C,POR,4300,26.26,38,0
119419,Willie Cauley-Stein,C,SAC,3600,11.71,2.5,0
119420,Amir Johnson,C,BOS,3500,23.11,11.75,0
119421,Ian Mahinmi,C,WAS,3000,0,0,0
119422,Tiago Splitter,C,ATL,3000,0,0,0
119423,Mike Muscala,C,ATL,3000,4.71,26,0
119424,Daniel Ochefu,C,WAS,3000,0,1.25,0
119425,Walter Tavares,C,ATL,3000,0,0,0
119426,Tyler Zeller,C,BOS,3000,15.26,17.25,0
119427,Cristiano Felicio,C,CHI,3000,14.45,4,0
119428,Kosta Koufos,C,SAC,3000,15.23,21.75,0
119429,Dewayne Dedmon,C,SA,3000,18.25,28.75,0
119430,Georgios Papagiannis,C,SAC,3000,0,0,0
119431,Festus Ezeli,C,POR,3000,0,0,0
119432,Diamond Stone,C,LAC,3000,0,0,0
119433,Jimmy Butler,SG/SF,CHI,7400,45.77,43.25,0
119434,Kent Bazemore,SG/SF,ATL,5100,29.88,12.75,0
119435,Evan Turner,SG/SF,POR,4700,24.94,12,0
119436,Kyle Anderson,SG/SF,SA,3700,13.21,20,0
119437,Allen Crabbe,SG/SF,POR,3700,20.6,17.25,0
119438,Kelly Oubre Jr.,SG/SF,WAS,3400,0,10.25,0
119439,Denzel Valentine,SG/SF,CHI,3200,0,0,0
