Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Damian Lillard,LeBron James,UTA,IND,NO,WAS,ORL,LAC,POR,CLE,C,PF,PF,SG/SF,SG,PG,PG,SF/PF,7000,4700,3000,3000,5300,8800,8400,9400,252.43,411.75,11,Dec102016
Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,Paul George,UTA,IND,NO,WAS,DAL,LAC,CLE,IND,C,PF,PF,SG/SF,SG,PG,SF/PF,SF/PF,7000,4700,3000,3000,5300,8800,9400,8000,246.28,411.5,12,Dec102016
Rudy Gobert,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,UTA,IND,MIL,WAS,ORL,LAC,CLE,IND,C,PF,PF,SG/SF,SG,PG,SF/PF,SF/PF,7000,4700,3000,3000,5300,8800,9400,8000,251.19,410.5,13,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,UTA,POR,IND,NO,WAS,LAC,NO,CLE,C,PG/SG,PF,PF,SG/SF,PG,PG,SF/PF,7000,6900,4700,3000,3000,8800,5700,9400,237.33,410.25,14,Dec102016
Marc Gasol,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,MEM,POR,IND,NO,WAS,ORL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,7900,6900,4700,3000,3000,5300,8800,9400,244.28,410.0,15,Dec102016
Marreese Speights,Rudy Gobert,C.J. McCollum,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,Paul George,LAC,UTA,POR,WAS,LAC,LAC,CLE,IND,PF/C,C,PG/SG,SG/SF,PG,PG,SF/PF,SF/PF,3700,7000,6900,3000,8800,3200,9400,8000,263.64,410.0,16,Dec102016
Ed Davis,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,POR,POR,IND,WAS,ORL,LAC,CLE,IND,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,SF/PF,3500,6900,4700,3000,5300,8800,9400,8000,256.14,409.75,17,Dec102016
Rudy Gobert,Thaddeus Young,Cheick Diallo,Jimmy Butler,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,UTA,IND,NO,CHI,WAS,LAC,NO,CLE,C,PF,PF,SG/SF,SG/SF,PG,PG,SF/PF,7000,4700,3000,8200,3000,8800,5700,9400,245.56,409.5,18,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,UTA,POR,IND,NO,WAS,DAL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,7000,6900,4700,3000,3000,5300,8800,9400,244.44,409.25,19,Dec102016
Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Damian Lillard,Tim Frazier,LeBron James,UTA,IND,NO,WAS,LAC,POR,NO,CLE,C,PF,PF,SG/SF,PG,PG,PG,SF/PF,7000,4700,3000,3000,8800,8400,5700,9400,247.48,409.0,20,Dec102016
Marreese Speights,Marc Gasol,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,LAC,MEM,POR,IND,WAS,DAL,LAC,CLE,PF/C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,3700,7900,6900,4700,3000,5300,8800,9400,262.06,408.75,21,Dec102016
Rudy Gobert,Luis Scola,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,UTA,BKN,IND,WAS,ORL,LAC,CLE,IND,C,PF/C,PF,SG/SF,SG,PG,SF/PF,SF/PF,7000,3000,4700,3000,5300,8800,9400,8000,249.33,408.5,22,Dec102016
Rudy Gobert,Thaddeus Young,Cheick Diallo,Jimmy Butler,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,UTA,IND,NO,CHI,WAS,DAL,LAC,CLE,C,PF,PF,SG/SF,SG/SF,SG,PG,SF/PF,7000,4700,3000,8200,3000,5300,8800,9400,252.67,408.5,23,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Kenneth Faried,UTA,POR,IND,WAS,ORL,LAC,CLE,DEN,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,PF/C,7000,6900,4700,3000,5300,8800,9400,4600,257.12,408.5,24,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,POR,IND,MIL,WAS,ORL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,7000,6900,4700,3000,3000,5300,8800,9400,249.35,408.25,25,Dec102016
Nikola Jokic,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,Paul George,DEN,POR,IND,WAS,LAC,LAC,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,5200,6900,4700,3000,8800,3200,9400,8000,260.12,408.25,26,Dec102016
Kawhi Leonard,Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,SA,UTA,IND,NO,WAS,ORL,LAC,CLE,SF,C,PF,PF,SG/SF,SG,PG,SF/PF,8300,7000,4700,3000,3000,5300,8800,9400,244.75,408.0,27,Dec102016
Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,Damian Lillard,LeBron James,UTA,IND,NO,WAS,DAL,LAC,POR,CLE,C,PF,PF,SG/SF,SG,PG,PG,SF/PF,7000,4700,3000,3000,5300,8800,8400,9400,254.59,408.0,28,Dec102016
Rudy Gobert,Cody Zeller,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,CHA,POR,IND,WAS,ORL,LAC,CLE,C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,7000,4100,6900,4700,3000,5300,8800,9400,263.71,407.75,29,Dec102016
Rudy Gobert,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,Paul George,UTA,IND,MIL,WAS,LAC,NO,CLE,IND,C,PF,PF,SG/SF,PG,PG,SF/PF,SF/PF,7000,4700,3000,3000,8800,5700,9400,8000,246.24,407.75,30,Dec102016
Rudy Gobert,Thaddeus Young,Mirza Teletovic,Jimmy Butler,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,IND,MIL,CHI,WAS,ORL,LAC,CLE,C,PF,PF,SG/SF,SG/SF,SG,PG,SF/PF,7000,4700,3000,8200,3000,5300,8800,9400,257.58,407.5,31,Dec102016
Nikola Jokic,C.J. McCollum,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,DEN,POR,NO,WAS,ORL,LAC,CLE,IND,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,SF/PF,5200,6900,3000,3000,5300,8800,9400,8000,253.16,407.5,32,Dec102016
Rudy Gobert,C.J. McCollum,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,Paul George,UTA,POR,NO,WAS,LAC,LAC,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,7000,6900,3000,3000,8800,3200,9400,8000,248.02,407.5,33,Dec102016
Marc Gasol,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,MEM,POR,IND,NO,WAS,LAC,NO,CLE,C,PG/SG,PF,PF,SG/SF,PG,PG,SF/PF,7900,6900,4700,3000,3000,8800,5700,9400,239.33,407.25,34,Dec102016
Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Austin Rivers,LeBron James,Paul George,UTA,IND,WAS,ORL,LAC,LAC,CLE,IND,C,PF,SG/SF,SG,PG,PG,SF/PF,SF/PF,7000,4700,3000,5300,8800,3200,9400,8000,259.62,407.25,35,Dec102016
Ed Davis,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,Paul George,POR,POR,IND,WAS,LAC,NO,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,3500,6900,4700,3000,8800,5700,9400,8000,251.19,407.0,36,Dec102016
Nikola Jokic,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Iman Shumpert,Chris Paul,LeBron James,Paul George,DEN,POR,IND,WAS,CLE,LAC,CLE,IND,C,PG/SG,PF,SG/SF,PG/SG,PG,SF/PF,SF/PF,5200,6900,4700,3000,3500,8800,9400,8000,261.06,407.0,37,Dec102016
Rudy Gobert,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Damian Lillard,LeBron James,UTA,IND,MIL,WAS,ORL,LAC,POR,CLE,C,PF,PF,SG/SF,SG,PG,PG,SF/PF,7000,4700,3000,3000,5300,8800,8400,9400,259.5,407.0,38,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Patrick Beverley,LeBron James,Paul George,LAC,UTA,IND,WAS,LAC,HOU,CLE,IND,PF/C,C,PF,SG/SF,PG,PG,SF/PF,SF/PF,3700,7000,4700,3000,8800,4800,9400,8000,256.83,407.0,39,Dec102016
Marreese Speights,Cody Zeller,C.J. McCollum,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,LAC,CHA,POR,WAS,ORL,LAC,CLE,IND,PF/C,C,PG/SG,SG/SF,SG,PG,SF/PF,SF/PF,3700,4100,6900,3000,5300,8800,9400,8000,257.89,406.75,40,Dec102016
Ed Davis,C.J. McCollum,Thaddeus Young,Jimmy Butler,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,POR,POR,IND,CHI,WAS,ORL,LAC,CLE,C,PG/SG,PF,SG/SF,SG/SF,SG,PG,SF/PF,3500,6900,4700,8200,3000,5300,8800,9400,262.53,406.75,41,Dec102016
Marreese Speights,Nikola Jokic,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,LAC,DEN,IND,WAS,ORL,LAC,CLE,IND,PF/C,C,PF,SG/SF,SG,PG,SF/PF,SF/PF,3700,5200,4700,3000,5300,8800,9400,8000,251.65,406.75,42,Dec102016
Rudy Gobert,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,Paul George,UTA,IND,MIL,WAS,DAL,LAC,CLE,IND,C,PF,PF,SG/SF,SG,PG,SF/PF,SF/PF,7000,4700,3000,3000,5300,8800,9400,8000,253.35,406.75,43,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,Paul George,LAC,UTA,IND,WAS,LAC,LAC,CLE,IND,PF/C,C,PF,SG/SF,PG,PG,SF/PF,SF/PF,3700,7000,4700,3000,8800,3200,9400,8000,246.51,406.75,44,Dec102016
Al Jefferson,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,IND,POR,IND,WAS,ORL,LAC,CLE,IND,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,SF/PF,3300,6900,4700,3000,5300,8800,9400,8000,255.67,406.75,45,Dec102016
Hassan Whiteside,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,MIA,POR,IND,NO,WAS,ORL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,8600,6900,4700,3000,3000,5300,8800,9400,252.14,406.5,46,Dec102016
Marreese Speights,Marc Gasol,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,LAC,MEM,UTA,IND,WAS,ORL,LAC,CLE,PF/C,C,C,PF,SG/SF,SG,PG,SF/PF,3700,7900,7000,4700,3000,5300,8800,9400,262.99,406.5,47,Dec102016
Rudy Gobert,Luis Scola,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,BKN,POR,IND,WAS,ORL,LAC,CLE,C,PF/C,PG/SG,PF,SG/SF,SG,PG,SF/PF,7000,3000,6900,4700,3000,5300,8800,9400,247.49,406.25,48,Dec102016
Ed Davis,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Damian Lillard,LeBron James,POR,POR,IND,WAS,ORL,LAC,POR,CLE,C,PG/SG,PF,SG/SF,SG,PG,PG,SF/PF,3500,6900,4700,3000,5300,8800,8400,9400,264.45,406.25,49,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Patty Mills,LeBron James,Paul George,LAC,UTA,IND,WAS,LAC,SA,CLE,IND,PF/C,C,PF,SG/SF,PG,PG,SF/PF,SF/PF,3700,7000,4700,3000,8800,4800,9400,8000,256.18,406.25,50,Dec102016
Marc Gasol,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,MEM,POR,IND,NO,WAS,DAL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,7900,6900,4700,3000,3000,5300,8800,9400,246.44,406.25,51,Dec102016
Myles Turner,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,Paul George,IND,POR,IND,WAS,LAC,LAC,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,5800,6900,4700,3000,8800,3200,9400,8000,258.95,406.25,52,Dec102016
Rudy Gobert,C.J. McCollum,Cheick Diallo,Kelly Oubre Jr.,Iman Shumpert,Chris Paul,LeBron James,Paul George,UTA,POR,NO,WAS,CLE,LAC,CLE,IND,C,PG/SG,PF,SG/SF,PG/SG,PG,SF/PF,SF/PF,7000,6900,3000,3000,3500,8800,9400,8000,248.96,406.25,53,Dec102016
Ed Davis,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,Paul George,POR,POR,IND,WAS,DAL,LAC,CLE,IND,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,SF/PF,3500,6900,4700,3000,5300,8800,9400,8000,258.3,406.0,54,Dec102016
Marreese Speights,Rudy Gobert,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,LAC,UTA,NO,WAS,ORL,LAC,CLE,IND,PF/C,C,PF,SG/SF,SG,PG,SF/PF,SF/PF,3700,7000,3000,3000,5300,8800,9400,8000,239.55,406.0,55,Dec102016
Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Iman Shumpert,Evan Fournier,Chris Paul,LeBron James,Paul George,UTA,IND,WAS,CLE,ORL,LAC,CLE,IND,C,PF,SG/SF,PG/SG,SG,PG,SF/PF,SF/PF,7000,4700,3000,3500,5300,8800,9400,8000,260.56,406.0,56,Dec102016
Rudy Gobert,Luis Scola,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,Paul George,UTA,BKN,IND,WAS,LAC,NO,CLE,IND,C,PF/C,PF,SG/SF,PG,PG,SF/PF,SF/PF,7000,3000,4700,3000,8800,5700,9400,8000,244.38,405.75,57,Dec102016
Marreese Speights,Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,LeBron James,Paul George,LAC,UTA,POR,IND,WAS,ORL,CLE,IND,PF/C,C,PG/SG,PF,SG/SF,SG,SF/PF,SF/PF,3700,7000,6900,4700,3000,5300,9400,8000,248.29,405.5,58,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,UTA,POR,IND,MIL,WAS,LAC,NO,CLE,C,PG/SG,PF,PF,SG/SF,PG,PG,SF/PF,7000,6900,4700,3000,3000,8800,5700,9400,244.4,405.5,59,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Iman Shumpert,Chris Paul,LeBron James,Paul George,LAC,UTA,IND,WAS,CLE,LAC,CLE,IND,PF/C,C,PF,SG/SF,PG/SG,PG,SF/PF,SF/PF,3700,7000,4700,3000,3500,8800,9400,8000,247.45,405.5,60,Dec102016
Rudy Gobert,Luis Scola,Thaddeus Young,Jimmy Butler,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,BKN,IND,CHI,WAS,ORL,LAC,CLE,C,PF/C,PF,SG/SF,SG/SF,SG,PG,SF/PF,7000,3000,4700,8200,3000,5300,8800,9400,255.72,405.5,61,Dec102016
Nikola Jokic,C.J. McCollum,Thaddeus Young,Jimmy Butler,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,DEN,POR,IND,CHI,WAS,LAC,LAC,CLE,C,PG/SG,PF,SG/SF,SG/SF,PG,PG,SF/PF,5200,6900,4700,8200,3000,8800,3200,9400,266.51,405.25,62,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Tony Allen,Chris Paul,LeBron James,Paul George,LAC,UTA,IND,WAS,MEM,LAC,CLE,IND,PF/C,C,PF,SG/SF,SG,PG,SF/PF,SF/PF,3700,7000,4700,3000,4600,8800,9400,8000,255.74,405.25,63,Dec102016
Marc Gasol,C.J. McCollum,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,MEM,POR,IND,MIL,WAS,ORL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,7900,6900,4700,3000,3000,5300,8800,9400,251.35,405.25,64,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Patrick Beverley,LeBron James,UTA,POR,IND,WAS,ORL,LAC,HOU,CLE,C,PG/SG,PF,SG/SF,SG,PG,PG,SF/PF,7000,6900,4700,3000,5300,8800,4800,9400,268.1,405.25,65,Dec102016
Cody Zeller,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Patrick Beverley,LeBron James,Paul George,CHA,POR,IND,WAS,LAC,HOU,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,4100,6900,4700,3000,8800,4800,9400,8000,259.55,405.25,66,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Goran Dragic,LeBron James,LAC,UTA,IND,WAS,ORL,LAC,MIA,CLE,PF/C,C,PF,SG/SF,SG,PG,PG,SF/PF,3700,7000,4700,3000,5300,8800,7300,9400,257.04,405.25,67,Dec102016
Marreese Speights,Rudy Gobert,C.J. McCollum,Thaddeus Young,Bojan Bogdanovic,Evan Fournier,Chris Paul,LeBron James,LAC,UTA,POR,IND,BKN,ORL,LAC,CLE,PF/C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,3700,7000,6900,4700,4000,5300,8800,9400,266.77,405.25,68,Dec102016
Kawhi Leonard,Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,SA,UTA,IND,NO,WAS,LAC,NO,CLE,SF,C,PF,PF,SG/SF,PG,PG,SF/PF,8300,7000,4700,3000,3000,8800,5700,9400,239.8,405.25,69,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Austin Rivers,LeBron James,UTA,POR,IND,WAS,ORL,LAC,LAC,CLE,C,PG/SG,PF,SG/SF,SG,PG,PG,SF/PF,7000,6900,4700,3000,5300,8800,3200,9400,257.78,405.0,70,Dec102016
Rudy Gobert,Cody Zeller,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,UTA,CHA,POR,IND,WAS,LAC,NO,CLE,C,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,7000,4100,6900,4700,3000,8800,5700,9400,258.76,405.0,71,Dec102016
Rudy Gobert,Tristan Thompson,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,CLE,POR,IND,WAS,ORL,LAC,CLE,C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,7000,4900,6900,4700,3000,5300,8800,9400,266.43,405.0,72,Dec102016
Cody Zeller,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Austin Rivers,LeBron James,Paul George,CHA,POR,IND,WAS,LAC,LAC,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,4100,6900,4700,3000,8800,3200,9400,8000,249.23,405.0,73,Dec102016
Rudy Gobert,Luis Scola,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Damian Lillard,LeBron James,UTA,BKN,IND,WAS,ORL,LAC,POR,CLE,C,PF/C,PF,SG/SF,SG,PG,PG,SF/PF,7000,3000,4700,3000,5300,8800,8400,9400,257.64,405.0,74,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,Kenneth Faried,UTA,POR,IND,WAS,DAL,LAC,CLE,DEN,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,PF/C,7000,6900,4700,3000,5300,8800,9400,4600,259.28,404.75,75,Dec102016
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Giannis Antetokounmpo,Chris Paul,Austin Rivers,LeBron James,LAC,UTA,IND,WAS,MIL,LAC,LAC,CLE,PF/C,C,PF,SG/SF,PG,PG,PG,SF/PF,3700,7000,4700,3000,9900,8800,3200,9400,258.54,404.75,76,Dec102016
Nikola Jokic,C.J. McCollum,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,Paul George,DEN,POR,NO,WAS,LAC,NO,CLE,IND,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,SF/PF,5200,6900,3000,3000,8800,5700,9400,8000,248.21,404.75,77,Dec102016
Rudy Gobert,Thaddeus Young,Mirza Teletovic,Jimmy Butler,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,UTA,IND,MIL,CHI,WAS,LAC,NO,CLE,C,PF,PF,SG/SF,SG/SF,PG,PG,SF/PF,7000,4700,3000,8200,3000,8800,5700,9400,252.63,404.75,78,Dec102016
Rudy Gobert,Luis Scola,Thaddeus Young,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,Paul George,UTA,BKN,IND,WAS,DAL,LAC,CLE,IND,C,PF/C,PF,SG/SF,SG,PG,SF/PF,SF/PF,7000,3000,4700,3000,5300,8800,9400,8000,251.49,404.75,79,Dec102016
Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Dwyane Wade,Chris Paul,Austin Rivers,LeBron James,UTA,POR,IND,WAS,CHI,LAC,LAC,CLE,C,PG/SG,PF,SG/SF,SG,PG,PG,SF/PF,7000,6900,4700,3000,6500,8800,3200,9400,264.76,404.75,80,Dec102016
